User ID,Measurement
853,904
1471,843
1928,595
637,582
1060,616
2485,722
2220,569
1061,681
1622,800
2669,672
1480,751
1280,626
1959,558
2764,777
1319,404
2134,1159
2147,538
1451,581
380,665
513,598
1045,602
1038,775
2269,692
431,635
1955,448
2286,546
2040,741
1420,744
1094,465
2143,682
1204,273
856,789
925,640
1107,905
377,796
1016,926
1097,647
200,707
2314,567
1349,878
1740,740
448,688
64,937
2679,386
591,904
400,572
654,731
541,385
113,748
1282,583
1869,509
1532,973
2594,472
760,644
84,800
896,806
2634,478
218,652
614,1030
1648,637
2735,1052
743,775
2356,813
2595,313
2635,642
2574,952
378,643
729,576
2627,641
2487,814
2293,547
8,628
2231,550
2462,519
2378,1010
199,491
2459,847
987,742
2433,936
1375,835
1211,707
1625,896
2585,645
1675,720
2194,583
1260,624
2398,799
89,482
1320,980
575,793
938,1001
2762,723
2461,639
2610,914
248,937
971,563
39,757
848,764
1213,688
2684,513
1875,497
2799,1154
623,932
2214,1007
2777,422
887,300
2192,961
2653,536
183,897
1,835
674,840
704,701
891,905
2778,768
2660,624
1148,643
30,502
1921,684
1014,812
115,918
1774,660
2743,637
2677,571
351,673
1792,591
1285,719
436,670
2788,1050
1758,671
1091,1007
546,611
1514,686
1288,675
1512,690
428,501
1182,639
1617,789
1505,776
401,786
517,628
163,517
1084,801
631,302
2038,950
2390,721
1360,881
1920,689
1059,570
135,936
1064,829
1419,721
1799,626
2458,973
1478,999
442,611
2443,598
32,643
1389,486
1575,681
1655,756
2395,394
138,591
937,889
2423,737
763,321
1215,758
235,885
320,908
1350,884
41,617
1967,616
2295,650
1971,879
661,534
2068,600
646,800
2066,651
1564,444
850,780
1881,912
776,587
1117,688
2474,664
1511,726
571,877
523,780
161,621
508,606
1033,807
1273,471
1933,537
1994,778
1136,797
2353,579
1683,686
1277,976
2199,469
302,721
989,526
2183,939
1330,508
1750,654
910,698
1454,599
46,661
717,713
1718,827
1123,414
2471,675
600,648
2519,649
1574,1006
1348,615
1170,889
1935,810
1370,635
2358,808
578,735
303,791
2242,615
476,912
1302,633
1584,679
1388,939
1051,691
548,702
15,816
341,1020
709,621
789,746
1313,790
1087,662
793,621
1996,906
1252,651
1468,975
2137,484
1047,773
2368,830
1802,802
339,562
1855,480
1585,573
785,910
828,950
1733,614
792,1083
2705,683
132,866
2145,719
2264,681
2664,891
231,949
2465,926
1812,722
2639,778
2370,785
634,1094
2608,573
255,707
2105,558
501,710
1913,639
1150,848
1457,537
1341,1057
1892,836
2774,455
815,583
1219,611
1264,435
194,966
2618,592
2108,624
2086,520
2717,730
317,681
1316,736
1162,823
244,625
2540,669
2593,550
346,283
1104,699
2031,456
1249,899
694,755
1039,786
1885,663
2070,474
2696,904
935,778
12,519
390,917
2274,591
2243,883
747,836
1152,699
576,910
781,833
2749,391
342,880
2325,1126
2492,898
628,737
799,730
2284,604
1496,627
996,700
493,613
1754,725
379,1087
519,552
1824,936
1201,693
1317,707
2454,698
1166,1023
1586,651
2602,908
1890,943
313,522
503,780
1373,785
1738,776
2394,580
243,764
1639,710
207,507
328,581
741,605
988,821
2129,1037
2329,708
549,484
658,606
562,713
1042,609
2671,788
1281,681
1956,509
1549,954
991,848
756,719
246,746
2355,727
1876,760
2772,516
1640,966
1796,908
1664,443
80,414
2360,927
458,669
149,697
1343,723
1013,831
1909,1246
2224,730
1594,646
950,647
228,704
1749,597
1186,745
1327,707
851,621
1046,586
886,734
1230,614
1067,363
1968,623
2361,701
204,499
2354,881
2619,865
1591,862
14,750
1433,866
225,663
898,527
490,877
2676,908
1102,485
1603,661
1942,737
1916,1012
982,902
479,857
2366,596
811,713
664,687
2503,612
1444,603
1975,1055
922,666
2658,862
304,780
1744,727
1394,551
131,937
1407,691
1169,840
2222,928
1142,636
2193,891
402,782
1987,834
2661,871
602,1328
189,620
1481,310
667,948
2001,690
179,823
754,499
1797,1206
1196,944
1739,1084
801,497
1743,494
1836,1032
842,337
2339,791
2509,848
2173,568
174,705
1463,1013
952,609
337,886
432,1089
2683,868
1990,809
1386,875
1680,671
494,866
1794,653
360,808
1429,1018
1198,789
2125,488
2695,1074
2036,710
1208,692
2575,596
1569,468
1440,787
353,605
361,607
681,247
2124,711
2460,543
1322,900
1888,652
1795,955
2007,499
994,579
147,704
486,695
2101,348
761,956
2612,622
2008,384
2106,644
581,944
2507,356
1410,928
2266,780
1678,692
2375,661
347,818
1800,820
1238,865
2652,542
1203,676
75,799
1469,923
577,1000
1608,724
2024,1280
1849,610
609,836
2761,784
1609,619
1906,965
975,874
1421,1114
997,345
1193,695
247,680
2079,782
706,1039
102,758
1331,703
2338,595
907,460
921,462
2733,963
859,931
1524,738
1841,269
424,821
1891,407
2499,842
616,930
275,740
1382,905
17,543
475,442
1786,572
2044,604
727,707
797,1072
2697,666
607,328
68,645
222,682
1243,726
2080,853
653,685
688,724
1901,608
1149,498
1174,726
2681,687
2179,564
553,497
1783,1209
4,874
24,725
535,646
2016,1026
2000,520
2437,736
443,693
2603,684
1332,562
297,747
766,701
190,234
2321,603
511,471
1587,964
703,757
2565,903
66,655
2587,906
1240,859
1278,456
350,809
2564,809
2726,587
759,827
2084,551
1147,787
1616,756
1878,1090
2205,1048
363,601
2606,897
2422,1051
191,414
660,715
769,589
999,624
621,675
309,886
2102,918
1289,972
373,635
1493,860
2700,668
1383,783
1391,232
835,780
2557,645
307,956
863,934
1115,879
948,782
322,791
1212,624
340,949
884,946
289,677
481,849
1627,595
778,913
2623,902
2002,671
367,1158
2567,687
2389,508
62,995
2467,772
2401,918
427,911
286,895
1815,442
2235,653
82,549
2128,1017
2545,603
806,1061
1404,857
2546,452
186,763
1479,647
2514,660
530,794
1210,636
1018,444
2600,847
1871,678
670,518
1576,997
372,687
2409,635
2800,781
238,599
2123,848
1291,675
205,530
1001,473
2372,655
668,643
482,864
2579,751
281,861
869,670
2054,963
2317,751
430,800
2171,569
1508,801
2400,439
955,657
1068,567
734,1006
2456,665
1248,765
2636,856
1359,616
1485,385
2100,908
1573,407
946,940
345,816
757,622
1110,631
1218,566
1965,728
420,617
2233,830
1620,778
2475,577
742,600
1910,553
855,813
478,1206
1641,737
175,814
1153,659
1702,426
1156,508
923,538
139,879
943,871
1751,817
1897,560
1957,595
1473,881
1991,926
1354,771
110,837
2424,1000
2500,889
1560,1026
1561,675
2261,631
889,920
1055,712
2342,673
210,1140
1565,744
2135,522
1475,656
1058,541
2528,496
1820,661
2741,683
1411,831
2082,987
1972,611
2629,422
2544,795
182,415
112,678
916,590
2493,691
1517,642
1486,722
126,805
1381,499
2348,228
2150,776
26,807
421,674
2281,583
414,656
2303,897
1222,1081
1062,746
2168,782
1697,922
1283,638
2047,580
1164,962
1414,734
1044,448
620,704
462,490
566,680
1998,757
2515,762
1048,759
1306,628
47,756
122,679
1372,595
592,509
2113,670
1714,432
1265,916
1395,511
1839,923
1775,540
1175,725
1448,674
939,803
894,691
323,753
2412,596
940,722
2790,637
1069,575
1637,681
2170,474
719,658
2488,773
821,515
1618,1073
647,874
1477,960
2012,693
1450,697
1329,606
1296,515
2573,865
949,496
1125,557
1491,496
2719,340
1595,631
1424,563
1973,928
2023,901
2049,809
2597,786
1634,838
2615,650
1000,621
1977,705
1179,1084
383,528
2710,785
720,778
128,506
945,768
558,525
2704,856
1563,647
446,938
693,689
2377,655
1747,602
604,778
2349,790
1976,624
2506,625
655,938
2255,485
676,857
552,701
1008,800
976,924
1053,691
2250,605
1092,611
917,895
2750,856
188,918
429,893
1365,789
1387,675
2425,1077
108,689
2306,1175
1536,707
1025,874
1867,681
1121,505
2196,862
2716,688
1271,816
484,606
1868,812
2562,597
2078,824
1926,1009
1883,866
2057,591
567,652
986,958
252,628
1228,722
2013,670
2280,618
2451,912
2056,753
509,724
2601,769
1534,889
1745,618
259,183
872,588
1541,605
2445,776
1518,969
2165,410
1476,688
2496,667
1779,1187
2363,347
457,618
226,696
687,594
2308,726
524,923
71,454
2085,623
81,677
1318,508
1335,742
723,676
1877,814
1258,1050
574,471
2116,718
1941,710
219,708
714,752
1070,543
852,777
809,688
355,897
151,511
2547,732
873,745
2729,925
927,637
120,1011
2464,565
1446,733
1830,346
1835,894
1093,763
947,864
1705,592
1202,637
27,914
1887,858
1593,908
2516,510
2508,717
582,772
2657,586
1342,535
1716,924
1367,605
106,807
152,800
666,675
1760,850
2300,544
2312,693
629,825
867,790
2039,414
1284,553
1161,647
773,727
1519,312
1966,875
495,625
2238,554
1030,576
167,790
2793,718
542,612
2262,433
1484,605
2495,567
73,783
2498,367
624,803
1336,864
2104,492
124,347
2522,807
362,1118
796,696
544,698
2029,853
2327,488
123,601
2536,732
78,380
1415,718
712,1123
2139,667
1662,643
2089,831
483,777
2229,672
11,855
418,433
1946,1010
515,494
1333,672
1233,422
294,779
44,761
2739,397
1526,898
2195,894
2333,491
88,869
412,1034
1236,802
2119,883
1133,720
1551,739
1980,731
136,583
2541,741
813,604
2416,595
58,605
1590,734
933,660
48,574
665,839
596,727
2307,577
1704,755
1654,1015
2386,1000
2414,671
1602,801
334,385
2362,768
1978,821
1384,573
1495,855
2287,817
143,741
