User ID,Measurement
1032,2.576
696,-3.857
1372,8.278
291,6.072
804,2.804
167,3.117
564,2.655
1604,5.487
710,4.779
380,2.229
196,10.384
378,3.009
1114,1.27
1065,5.327
173,3.738
674,-1.263
912,2.015
743,1.539
174,5.509
1126,7.41
627,6.232
497,4.288
160,2.392
1675,0.128
340,2.865
1131,-2.641
638,2.745
1239,5.477
1213,4.898
274,7.287
1157,1.388
970,2.227
1243,6.279
712,5.622
1007,8.068
312,-0.143
318,5.527
1030,6.405
1669,4.005
18,8.828
333,4.272
1470,-4.002
1134,6.184
675,-1.56
1111,1.523
1158,4.505
1050,9.383
1382,0.981
1118,2.807
1322,6.854
887,-2.38
345,4.787
204,-0.042
1150,-2.453
1375,2.973
1100,2.826
1527,4.054
1443,5.646
582,3.66
9,7.535
1725,6.676
1027,0.766
749,2.717
1049,2.309
918,-2.339
1361,7.598
220,1.705
1620,6.068
1439,1.871
1766,5.815
361,1.634
1169,6.183
1334,3.913
1307,4.951
566,4.992
1473,3.86
408,1.39
381,0.666
580,9.091
1084,7.311
256,3.91
1137,6.517
491,1.275
1592,3.566
794,-1.544
405,0.84
769,2.572
840,2.57
641,3.382
1123,-0.886
1588,3.134
838,3.22
484,3.712
532,5.123
454,1.386
1204,-1.236
882,4.278
1566,4.03
1256,3.826
604,7.078
1064,3.593
525,5.209
46,3.163
1336,3.347
1304,1.342
414,2.908
68,3.579
994,3.944
810,6.769
510,7.059
983,7.584
176,2.271
1543,3.253
94,6.052
576,3.174
989,6.94
1484,-3.561
1790,7.526
1403,1.038
1722,2.803
31,2.156
986,5.36
746,2.495
996,8.732
1031,4.606
1270,2.417
1366,5.65
614,4.784
1000,2.507
27,6.548
1394,5.397
767,6.429
1385,0.086
1429,2.155
1707,1.852
1222,5.41
330,5.87
470,5.888
1575,2.023
573,0.994
1227,2.14
1165,7.156
308,8.113
1739,4.321
515,1.945
214,2.156
861,4.014
999,-4.607
164,4.036
1455,1.927
998,0.844
1340,2.957
1348,0.495
753,4.69
97,2.758
1468,5.769
1568,-2.755
16,3.92
1635,-1.393
1751,1.286
512,6.616
1441,1.531
302,6.944
1482,8.717
673,4.943
833,4.603
1514,-1.85
34,2.653
364,5.278
1190,11.35
375,1.455
797,4.545
563,2.14
69,2.649
1088,6.042
948,3.486
1337,-0.316
1121,-1.529
1447,6.266
1332,7.849
782,-2.1
974,2.105
1036,3.445
1585,2.115
427,3.06
589,3.537
806,5.714
12,2.22
1561,10.856
1144,4.178
1704,1.854
621,4.055
598,4.048
1218,0.681
1391,2.881
1758,5.414
1191,4.186
878,1.676
1793,5.018
978,2.637
1223,4.001
1389,2.411
1719,-0.405
473,2.9
317,3.475
1670,9.143
118,9.737
1236,4.621
1560,-0.652
1233,-2.042
448,-3.296
1786,9.738
480,3.184
628,4.198
500,1.804
1108,-0.325
363,6.649
277,3.082
323,3.009
1317,2.287
131,6.065
1267,3.122
973,2.673
591,6.759
351,6.541
1154,0.803
1660,4.013
551,0.943
1219,8.837
1199,4.642
645,-3.019
498,1.758
938,4.694
303,2.713
708,2.262
241,1.326
1450,7.078
1326,-0.577
1485,7.796
1763,3.288
452,6.027
1363,4.568
783,2.477
789,4.031
1483,3.922
1408,-2.017
53,1.242
1200,5.496
1087,2.858
711,3.394
879,1.208
1667,-0.554
1640,0.353
143,-0.923
1509,7.807
1205,4.358
1140,2.387
207,1.748
