User ID,Measurement
853,650
1471,904
1928,843
637,595
1060,582
2485,616
2220,722
1061,569
1622,681
2669,800
1480,672
1280,751
1959,626
2764,558
1319,777
2134,404
2147,1159
1451,538
380,581
513,665
1045,598
1038,602
2269,775
431,692
1955,635
2286,448
2040,546
1420,741
1094,744
2143,465
1204,682
856,273
925,789
1107,640
377,905
1016,796
1097,926
200,647
2314,707
1349,567
1740,878
448,740
64,688
2679,937
591,386
400,904
654,572
541,731
113,385
1282,748
1869,583
1532,509
2594,973
760,472
84,644
896,800
2634,806
218,478
614,652
1648,1030
2735,637
743,1052
2356,775
2595,813
2635,313
2574,642
378,952
729,643
2627,576
2487,641
2293,814
8,547
2231,628
2462,550
2378,519
199,1010
2459,491
987,847
2433,742
1375,936
1211,835
1625,707
2585,896
1675,645
2194,720
1260,583
2398,624
89,799
1320,482
575,980
938,793
2762,1001
2461,723
2610,639
248,914
971,937
39,563
848,757
1213,764
2684,688
1875,513
2799,497
623,1154
2214,932
2777,1007
887,422
2192,300
2653,961
183,536
1,897
674,835
704,840
891,701
2778,905
2660,768
1148,624
30,643
1921,502
1014,684
115,812
1774,918
2743,660
2677,637
351,571
1792,673
1285,591
436,719
2788,670
1758,1050
1091,671
546,1007
1514,611
1288,686
1512,675
428,690
1182,501
1617,639
1505,789
401,776
517,786
163,628
1084,517
631,801
2038,302
2390,950
1360,721
1920,881
1059,689
135,570
1064,936
1419,829
1799,721
2458,626
1478,973
442,999
2443,611
32,598
1389,643
1575,486
1655,681
2395,756
138,394
937,591
2423,889
763,737
1215,321
235,758
320,885
1350,908
41,884
1967,617
2295,616
1971,650
661,879
2068,534
646,600
2066,800
1564,651
850,444
1881,780
776,912
1117,587
2474,688
1511,664
571,726
523,877
161,780
508,621
1033,606
1273,807
1933,471
1994,537
1136,778
2353,797
1683,579
1277,686
2199,976
302,469
989,721
2183,526
1330,939
1750,508
910,654
1454,698
46,599
717,661
1718,713
1123,827
2471,414
600,675
2519,648
1574,649
1348,1006
1170,615
1935,889
1370,810
2358,635
578,808
303,735
2242,791
476,615
1302,912
1584,633
1388,679
1051,939
548,691
15,702
341,816
709,1020
789,621
1313,746
1087,790
793,662
1996,621
1252,906
1468,651
2137,975
1047,484
2368,773
1802,830
339,802
1855,562
1585,480
785,573
828,910
1733,950
792,614
2705,1083
132,683
2145,866
2264,719
2664,681
231,891
2465,949
1812,926
2639,722
2370,778
634,785
2608,1094
255,573
2105,707
501,558
1913,710
1150,639
1457,848
1341,537
1892,1057
2774,836
815,455
1219,583
1264,611
194,435
2618,966
2108,592
2086,624
2717,520
317,730
1316,681
1162,736
244,823
2540,625
2593,669
346,550
1104,283
2031,699
1249,456
694,899
1039,755
1885,786
2070,663
2696,474
935,904
12,778
390,519
2274,917
2243,591
747,883
1152,836
576,699
781,910
2749,833
342,391
2325,880
2492,1126
628,898
799,737
2284,730
1496,604
996,627
493,700
1754,613
379,725
519,1087
1824,552
1201,936
1317,693
2454,707
1166,698
1586,1023
2602,651
1890,908
313,943
503,522
1373,780
1738,785
2394,776
243,580
1639,764
207,710
328,507
741,581
988,605
2129,821
2329,1037
549,708
658,484
562,606
1042,713
2671,609
1281,788
1956,681
1549,509
991,954
756,848
246,719
2355,746
1876,727
2772,760
1640,516
1796,966
1664,908
80,443
2360,414
458,927
149,669
1343,697
1013,723
1909,831
2224,1246
1594,730
950,646
228,647
1749,704
1186,597
1327,745
851,707
1046,621
886,586
1230,734
1067,614
1968,363
2361,623
204,701
2354,499
2619,881
1591,865
14,862
1433,750
225,866
898,663
490,527
2676,877
1102,908
1603,485
1942,661
1916,737
982,1012
479,902
2366,857
811,596
664,713
2503,687
1444,612
1975,603
922,1055
2658,666
304,862
1744,780
1394,727
131,551
1407,937
1169,691
2222,840
1142,928
2193,636
402,891
1987,782
2661,834
602,871
189,1328
1481,620
667,310
2001,948
179,690
754,823
1797,499
1196,1206
1739,944
801,1084
1743,497
1836,494
842,1032
2339,337
2509,791
2173,848
174,568
1463,705
952,1013
337,609
432,886
2683,1089
1990,868
1386,809
1680,875
494,671
1794,866
360,653
1429,808
1198,1018
2125,789
2695,488
2036,1074
1208,710
2575,692
1569,596
1440,468
353,787
361,605
681,607
2124,247
2460,711
1322,543
1888,900
1795,652
2007,955
994,499
147,579
486,704
2101,695
761,348
2612,956
2008,622
2106,384
581,644
2507,944
1410,356
2266,928
1678,780
2375,692
347,661
1800,818
1238,820
2652,865
1203,542
75,676
1469,799
577,923
1608,1000
2024,724
1849,1280
609,610
2761,836
1609,784
1906,619
975,965
1421,874
997,1114
1193,345
247,695
2079,680
706,782
102,1039
1331,758
2338,703
907,595
921,460
2733,462
859,963
1524,931
1841,738
424,269
1891,821
2499,407
616,842
275,930
1382,740
17,905
475,543
1786,442
2044,572
727,604
797,707
2697,1072
607,666
68,328
222,645
1243,682
2080,726
653,853
688,685
1901,724
1149,608
1174,498
2681,726
2179,687
553,564
1783,497
4,1209
24,874
535,725
2016,646
2000,1026
2437,520
443,736
2603,693
1332,684
297,562
766,747
190,701
2321,234
511,603
1587,471
703,964
2565,757
66,903
2587,655
1240,906
1278,859
350,456
2564,809
2726,809
759,587
2084,827
1147,551
1616,787
1878,756
2205,1090
363,1048
2606,601
2422,897
191,1051
660,414
769,715
999,589
621,624
309,675
2102,886
1289,918
373,972
1493,635
2700,860
1383,668
1391,783
835,232
2557,780
307,645
863,956
1115,934
948,879
322,782
1212,791
340,624
884,949
289,946
481,677
1627,849
778,595
2623,913
2002,902
367,671
2567,1158
2389,687
62,508
2467,995
2401,772
427,918
286,911
1815,895
2235,442
82,653
2128,549
2545,1017
806,603
1404,1061
2546,857
186,452
1479,763
2514,647
530,660
1210,794
1018,636
2600,444
1871,847
670,678
1576,518
372,997
2409,687
2800,635
238,781
2123,599
1291,848
205,675
1001,530
2372,473
668,655
482,643
2579,864
281,751
869,861
2054,670
2317,963
430,751
2171,800
1508,569
2400,801
955,439
1068,657
734,567
2456,1006
1248,665
2636,765
1359,856
1485,616
2100,385
1573,908
946,407
345,940
757,816
1110,622
1218,631
1965,566
420,728
2233,617
1620,830
2475,778
742,577
1910,600
855,553
478,813
1641,1206
175,737
1153,814
1702,659
1156,426
923,508
139,538
943,879
1751,871
1897,817
1957,560
1473,595
1991,881
1354,926
110,771
2424,837
2500,1000
1560,889
1561,1026
2261,675
889,631
1055,920
2342,712
210,673
1565,1140
2135,744
1475,522
1058,656
2528,541
1820,496
2741,661
1411,683
2082,831
1972,987
2629,611
2544,422
182,795
112,415
916,678
2493,590
1517,691
1486,642
126,722
1381,805
2348,499
2150,228
26,776
421,807
2281,674
414,583
2303,656
1222,897
1062,1081
2168,746
1697,782
1283,922
2047,638
1164,580
1414,962
1044,734
620,448
462,704
566,490
1998,680
2515,757
1048,762
1306,759
47,628
122,756
1372,679
592,595
2113,509
1714,670
1265,432
1395,916
1839,511
1775,923
1175,540
1448,725
939,674
894,803
323,691
2412,753
940,596
2790,722
1069,637
1637,575
2170,681
719,474
2488,658
821,773
1618,515
647,1073
1477,874
2012,960
1450,693
1329,697
1296,606
2573,515
949,865
