User ID,Measurement
1032,-2.073
696,2.576
1372,-3.857
291,8.278
804,6.072
167,2.804
564,3.117
1604,2.655
710,5.487
380,4.779
196,2.229
378,10.384
1114,3.009
1065,1.27
173,5.327
674,3.738
912,-1.263
743,2.015
174,1.539
1126,5.509
627,7.41
497,6.232
160,4.288
1675,2.392
340,0.128
1131,2.865
638,-2.641
1239,2.745
1213,5.477
274,4.898
1157,7.287
970,1.388
1243,2.227
712,6.279
1007,5.622
312,8.068
318,-0.143
1030,5.527
1669,6.405
18,4.005
333,8.828
1470,4.272
1134,-4.002
675,6.184
1111,-1.56
1158,1.523
1050,4.505
1382,9.383
1118,0.981
1322,2.807
887,6.854
345,-2.38
204,4.787
1150,-0.042
1375,-2.453
1100,2.973
1527,2.826
1443,4.054
582,5.646
9,3.66
1725,7.535
1027,6.676
749,0.766
1049,2.717
918,2.309
1361,-2.339
220,7.598
1620,1.705
1439,6.068
1766,1.871
361,5.815
1169,1.634
1334,6.183
1307,3.913
566,4.951
1473,4.992
408,3.86
381,1.39
580,0.666
1084,9.091
256,7.311
1137,3.91
491,6.517
1592,1.275
794,3.566
405,-1.544
769,0.84
840,2.572
641,2.57
1123,3.382
1588,-0.886
838,3.134
484,3.22
532,3.712
454,5.123
1204,1.386
882,-1.236
1566,4.278
1256,4.03
604,3.826
1064,7.078
525,3.593
46,5.209
1336,3.163
1304,3.347
414,1.342
68,2.908
994,3.579
810,3.944
510,6.769
983,7.059
176,7.584
1543,2.271
94,3.253
576,6.052
989,3.174
1484,6.94
1790,-3.561
1403,7.526
1722,1.038
31,2.803
986,2.156
746,5.36
996,2.495
1031,8.732
1270,4.606
1366,2.417
614,5.65
1000,4.784
27,2.507
1394,6.548
767,5.397
1385,6.429
1429,0.086
1707,2.155
1222,1.852
330,5.41
470,5.87
1575,5.888
573,2.023
1227,0.994
1165,2.14
308,7.156
1739,8.113
515,4.321
214,1.945
861,2.156
999,4.014
164,-4.607
1455,4.036
998,1.927
1340,0.844
1348,2.957
753,0.495
97,4.69
1468,2.758
1568,5.769
16,-2.755
1635,3.92
1751,-1.393
512,1.286
1441,6.616
302,1.531
1482,6.944
673,8.717
833,4.943
1514,4.603
34,-1.85
364,2.653
1190,5.278
375,11.35
797,1.455
563,4.545
69,2.14
1088,2.649
948,6.042
1337,3.486
1121,-0.316
1447,-1.529
1332,6.266
782,7.849
974,-2.1
1036,2.105
1585,3.445
427,2.115
589,3.06
806,3.537
12,5.714
1561,2.22
1144,10.856
1704,4.178
621,1.854
598,4.055
1218,4.048
1391,0.681
1758,2.881
1191,5.414
878,4.186
1793,1.676
978,5.018
1223,2.637
1389,4.001
1719,2.411
473,-0.405
317,2.9
1670,3.475
118,9.143
1236,9.737
1560,4.621
1233,-0.652
448,-2.042
1786,-3.296
480,9.738
628,3.184
500,4.198
1108,1.804
363,-0.325
277,6.649
323,3.082
1317,3.009
131,2.287
1267,6.065
973,3.122
591,2.673
351,6.759
1154,6.541
1660,0.803
551,4.013
1219,0.943
1199,8.837
645,4.642
498,-3.019
938,1.758
303,4.694
708,2.713
241,2.262
1450,1.326
1326,7.078
1485,-0.577
1763,7.796
452,3.288
1363,6.027
783,4.568
789,2.477
1483,4.031
1408,3.922
53,-2.017
1200,1.242
1087,5.496
711,2.858
879,3.394
1667,1.208
1640,-0.554
143,0.353
1509,-0.923
1205,7.807
1140,4.358
207,2.387
967,1.748
172,7.856
1740,2.981
45,1.22
777,3.87
117,5.444
1279,4.11
1467,4.88
3,2.03
365,2.623
1695,3.31
1397,4.532
521,6.817
428,4.105
1427,-1.261
222,-1.761
396,6.109
1010,1.809
1556,9.318
1409,7.094
388,0.929
659,-0.292
958,3.127
1654,3.466
927,1.83
1020,-0.067
263,3.086
637,2.438
963,3.687
1313,1.802
773,11.181
1506,2.172
398,2.682
1508,7.113
1780,6.715
52,11.922
1124,8.677
435,6.881
857,1.838
1474,-2.518
474,3.393
169,2.217
1289,2.062
478,4.07
1420,2.586
235,2.791
661,2.252
583,0.09
314,2.717
278,7.018
133,3.987
529,2.118
503,1.017
553,3.484
678,4.673
1753,3.865
386,0.443
1171,-0.049
1512,5.776
1666,0.667
987,-0.993
1159,0.562
1152,0.322
1431,3.245
1622,4.221
1136,5.853
148,2.443
1457,0.427
528,-0.666
694,0.62
201,-0.645
1071,1.743
527,5.505
964,7.982
1718,0.315
669,4.17
1344,-0.175
1098,3.499
1684,1.291
585,2.307
1207,7.149
620,4.713
785,4.153
1265,6.892
649,0.515
1122,2.32
1693,4.098
1697,6.355
1570,5.926
1564,4.23
945,4.931
961,3.539
267,4.468
1155,6.831
977,0.205
1542,0.168
49,4.225
1228,7.231
1120,3.762
1708,0.556
793,7.37
1329,2.326
8,3.336
1156,-2.581
792,3.365
1533,5.034
1296,3.103
1720,5.708
844,0.321
1593,0.31
891,4.172
672,7.489
1255,1.225
226,3.238
47,-0.723
1358,5.398
852,0.32
