group,measurement
control,14471
control,14405
control,14457
control,14318
control,14265
control,14324
control,14368
control,14412
control,14621
control,14365
control,14264
control,14332
control,14319
control,14423
control,14199
control,14377
control,14387
control,14396
control,14304
control,14344
control,14212
control,14315
control,14310
control,14416
control,14242
control,14457
control,14536
control,14140
control,14417
control,14445
control,14299
control,14326
control,14355
control,14337
control,14336
control,14184
control,14498
control,14490
control,14280
control,14207
control,14428
control,14306
control,14386
control,14335
control,14447
control,14447
control,14289
control,14216
control,14194
control,14438
control,14238
control,14314
control,14304
control,14364
control,14155
control,14391
control,14428
control,14380
control,14335
control,14381
control,14414
control,14062
control,14587
control,14413
control,14298
control,14327
control,14425
control,14357
control,14145
control,14599
control,14358
control,14483
control,14293
control,14541
control,14402
control,14438
control,14254
control,14504
control,14447
control,14515
control,14300
control,14317
control,14626
control,14252
control,14355
control,14496
control,14381
control,14435
control,14326
control,14411
control,14225
control,14554
control,14357
control,14295
control,14444
control,14319
control,14222
control,14221
control,14447
control,14352
control,14355
control,14490
control,14245
control,14289
control,14327
control,14380
control,14365
control,14338
control,14363
control,14358
control,14290
control,14280
control,14400
control,14271
control,14242
control,14335
control,14352
control,14620
control,14292
control,14475
control,14453
control,14238
control,14456
control,14239
control,14075
control,14437
control,14175
control,14420
control,14294
control,14554
control,14489
control,14320
control,14294
control,14235
control,14321
control,14339
control,14330
control,14387
control,14434
control,14409
control,14285
control,14210
control,14521
control,14293
control,14298
control,14312
control,14165
control,14317
control,14317
control,14439
control,14448
control,14370
control,14473
control,14408
control,14368
control,14388
control,14349
control,14326
control,14340
control,14245
control,14401
control,14260
control,14463
control,14342
control,14375
control,14425
control,14441
control,14196
control,14347
control,14468
control,14182
control,14413
control,14120
control,14257
control,14374
control,14186
control,14261
control,14207
control,14553
control,14388
control,14433
control,14345
control,14331
control,14191
control,14338
control,14285
control,14465
control,14497
control,14533
control,14465
control,14304
control,14246
control,14455
control,14410
control,14174
control,14409
control,14460
control,14377
control,14349
control,14280
control,14209
control,14459
control,14336
control,14344
control,14562
control,14446
control,14411
control,14386
control,14539
control,14561
control,14473
control,14435
control,14137
control,14384
control,14356
control,14380
control,14475
control,14066
control,14307
control,14400
control,14318
control,14213
control,14466
control,14401
control,14262
control,14405
control,14461
control,14371
control,14459
control,14379
control,14326
control,14241
control,14360
control,14392
control,14467
control,14357
control,14421
control,14263
control,14283
control,14358
control,14253
control,14461
control,14421
control,14401
control,14408
control,14594
control,14318
control,14126
control,14392
control,14364
control,14313
control,14261
control,14321
control,14390
control,14314
control,14638
control,14263
control,14282
control,14116
control,14398
control,14146
control,14310
control,14339
control,14291
control,14563
control,14480
control,14516
control,14272
control,14495
control,14425
control,14456
control,14484
control,14269
control,14323
control,14466
control,14075
control,14538
control,14431
control,14365
control,14394
control,14256
control,14331
control,14492
control,14514
control,14669
control,14362
control,14297
control,14313
control,14257
control,14361
control,14412
control,14366
control,14492
control,14344
control,14331
control,14305
control,14189
control,14196
control,14239
control,14514
control,14469
control,14523
control,14222
control,14151
control,14297
control,14390
control,14425
control,14486
control,14402
control,14563
control,14345
control,14269
control,14183
control,14271
control,14397
control,14271
control,14474
control,14527
control,14107
control,14466
control,14121
control,14415
control,14506
control,14377
control,14228
control,14305
control,14341
control,14350
control,14347
control,14358
control,14394
control,14236
control,14343
control,14539
control,14327
control,14321
control,14490
control,14086
control,14501
control,14300
control,14388
control,14381
control,14475
control,14340
control,14295
control,14514
control,14108
control,14372
control,14220
control,14285
control,14593
control,14365
control,14392
control,14172
control,14289
control,14392
control,14409
control,14438
control,14371
control,14428
control,14420
control,14167
control,14374
control,14455
control,14435
control,14330
control,14281
control,14246
control,14355
control,14496
control,14153
